model_key,estimated_params_b,estimated_quant,estimated_bits_per_param,estimated_model_memory_gib,system_ram_gib,available_ram_gib,largest_nvidia_vram_gib,fit_grade,fit_notes
google/gemma-4-12b-qat,12.0,unknown_assume_q4,4.5,7.54,91.94,55.57,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
lfm2.5-1.2b-instruct,1.2,unknown_assume_q4,4.5,0.75,91.94,55.57,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
lfm2.5-8b-a1b,8.0,unknown_assume_q4,4.5,5.03,91.94,55.57,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
liquid/lfm2-24b-a2b,24.0,unknown_assume_q4,4.5,16.21,91.94,55.57,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
mradermacher/vibethinker-3b-hermes,3.0,unknown_assume_q4,4.5,1.89,91.94,55.57,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
openai/gpt-oss-20b,20.0,unknown_assume_q4,4.5,13.09,91.94,55.57,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
qwen3.6-35b-a3b-claude-4.7-opus-reasoning-distilled-apex,35.0,unknown_assume_q4,4.5,25.66,91.94,55.57,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
qwen3.6-35b-a3b-claude-4.7-opus-reasoning-distilled-apex-mtp,35.0,unknown_assume_q4,4.5,25.66,91.94,55.57,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
refinedneuro/vibethinker-3b-hermes,3.0,unknown_assume_q4,4.5,1.89,91.94,55.57,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
text-embedding-nomic-embed-text-v1.5,,unknown_assume_q4,4.5,,91.94,55.57,,unknown,Could not estimate model size from name. Run benchmark load checks and monitor LM Studio memory.
vibethinker-3b-i1,3.0,unknown_assume_q4,4.5,1.89,91.94,55.57,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
