model_key,estimated_params_b,estimated_quant,estimated_bits_per_param,estimated_model_memory_gib,system_ram_gib,available_ram_gib,largest_nvidia_vram_gib,fit_grade,fit_notes
google/gemma-3-1b,1.0,unknown_assume_q4,4.5,0.63,91.94,75.97,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
ibm/granite-4-h-tiny,,unknown_assume_q4,4.5,,91.94,75.97,,unknown,Could not estimate model size from name. Run benchmark load checks and monitor LM Studio memory.
lfm2.5-8b-a1b,8.0,unknown_assume_q4,4.5,5.03,91.94,75.97,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
liquid/lfm2.5-1.2b,1.2,unknown_assume_q4,4.5,0.75,91.94,75.97,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,0.8,unknown_assume_q4,4.5,0.5,91.94,75.97,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
qwen3.5-2b,2.0,unknown_assume_q4,4.5,1.26,91.94,75.97,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
qwen3.5-2b-claude-4.6-opus-reasoning-distilled,2.0,unknown_assume_q4,4.5,1.26,91.94,75.97,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
qwen3.5-4b,4.0,unknown_assume_q4,4.5,2.51,91.94,75.97,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
refinedtoolcallv5-3b,3.0,unknown_assume_q4,4.5,1.89,91.94,75.97,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
text-embedding-nomic-embed-text-v1.5,,unknown_assume_q4,4.5,,91.94,75.97,,unknown,Could not estimate model size from name. Run benchmark load checks and monitor LM Studio memory.
vibethinker-3b-i1,3.0,unknown_assume_q4,4.5,1.89,91.94,75.97,,good,Estimated model memory fits comfortably in currently available RAM/VRAM.
