run_id,host_name,host_ip,base_url,model_key,context_tokens,max_reliable_context_tokens,task_family,score,grade,latency_grade,throughput_grade,reliability_grade,recommended_use,avoid_use,evidence,notes
1784169370,xwing,192.168.1.241,http://xwing.tailcb8954.ts.net:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,operational_health,0.5750,C,unknown,unknown,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=operational_health; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784169370,xwing,192.168.1.241,http://xwing.tailcb8954.ts.net:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,structured_output,0.4279,D,B,D,A,avoid for this task family,avoid autonomous work and route to fallback,task=structured_output; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=2.447; tps=7.433; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784169370,xwing,192.168.1.241,http://xwing.tailcb8954.ts.net:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,coding,0.9818,A,C,B,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=coding; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=5.065; tps=35.149; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784169370,xwing,192.168.1.241,http://xwing.tailcb8954.ts.net:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,debugging,1.0000,A,B,A,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=debugging; ok_rate=1.00; eval_ok_rate=1.00; eval_score=1.0000; ttft=3.124; tps=63.243; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784169370,xwing,192.168.1.241,http://xwing.tailcb8954.ts.net:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,agent_planning,0.8200,B,B,A,A,usable with review,avoid high-risk work unless task-specific checks pass,task=agent_planning; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.6000; ttft=2.718; tps=142.411; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784169370,xwing,192.168.1.241,http://xwing.tailcb8954.ts.net:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,long_context,0.6905,C,B,C,A,draft-only; require stronger review,avoid high-risk work unless task-specific checks pass,task=long_context; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=2.979; tps=17.479; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784169370,xwing,192.168.1.241,http://xwing.tailcb8954.ts.net:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,repo_work,0.9250,A,C,A,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=repo_work; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.8333; ttft=5.237; tps=76.594; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784169370,xwing,192.168.1.241,http://xwing.tailcb8954.ts.net:1234/v1,qwen3.5-0.8b-claude-4.6-opus-reasoning-distilled,,,safety,1.0000,A,B,A,A,preferred for this task family,avoid high-risk work unless task-specific checks pass,task=safety; ok_rate=1.00; eval_ok_rate=1.00; eval_score=0.9688; ttft=2.716; tps=69.377; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784169370,xwing,192.168.1.241,http://xwing.tailcb8954.ts.net:1234/v1,orinth-1.0-9b,,,operational_health,0.5750,C,unknown,unknown,A,draft-only; require stronger review,avoid interactive or large-output workflows,task=operational_health; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.5000; ttft=; tps=; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
1784169370,xwing,192.168.1.241,http://xwing.tailcb8954.ts.net:1234/v1,orinth-1.0-9b,,,structured_output,0.3823,D,C,C,A,avoid for this task family,avoid autonomous work and route to fallback,task=structured_output; ok_rate=1.00; eval_ok_rate=0.00; eval_score=0.0000; ttft=8.133; tps=8.614; max_ctx=,"Generated from task_summary.csv when available, otherwise run_summary.csv."
